sex,age,k_coeff,serum_creatinine_upper,serum_creatinine_lower,height_meters_upper,height_meters_lower
Female,0,32.8,50,0,1.057,0
Female,1,33.1,50,0,1.057,0
Female,2,33.3,50,0,1.057,0.675
Female,3,33.6,50,0,1.141,0.754
Female,4,33.9,50,0,1.226,0.809
Female,5,34.1,50,0,1.312,0.866
Female,6,34.4,50,0,1.392,0.923
Female,7,34.7,50,0,1.463,0.975
Female,8,35,50,0,1.526,1.018
Female,9,35.2,50,0,1.589,1.051
Female,10,35.5,50,0,1.659,1.074
Female,11,35.8,50,0,1.726,1.09
Female,12,36.1,50,0,1.774,1.131
Female,13,36.9,50,0,1.801,1.218
Female,14,37.8,50,0,1.814,1.277
Female,15,38.6,50,0,1.82,1.298
Female,16,39.5,50,0,1.823,1.304
Female,17,40.4,50,0,1.825,1.306
Female,18,41.4,50,0,1.826,1.306
Female,19,41.4,50,0,1.826,1.306
Female,20,41.4,50,0,1.826,1.306
Male,0,35.4,50,0,1.072,0
Male,1,35.7,50,0,1.072,0
Male,2,36,50,0,1.072,0.691
Male,3,36.3,50,0,1.147,0.784
Male,4,36.6,50,0,1.223,0.817
Male,5,36.9,50,0,1.3,0.852
Male,6,37.2,50,0,1.379,0.9
Male,7,37.5,50,0,1.455,0.957
Male,8,37.8,50,0,1.525,1.01
Male,9,38.1,50,0,1.588,1.049
Male,10,38.4,50,0,1.651,1.077
Male,11,38.7,50,0,1.72,1.108
Male,12,39,50,0,1.797,1.147
Male,13,40.8,50,0,1.867,1.18
Male,14,42.6,50,0,1.916,1.198
Male,15,44.5,50,0,1.945,1.236
Male,16,46.5,50,0,1.961,1.302
Male,17,48.6,50,0,1.971,1.357
Male,18,50.8,50,0,1.977,1.387
Male,19,50.8,50,0,1.981,1.4
Male,20,50.8,50,0,1.981,1.405
