sex,age,k_coeff,serum_creatinine_upper,serum_creatinine_lower,height_meters_upper,height_meters_lower
F,0,32.8,50,0,1.057,0
F,1,33.1,50,0,1.057,0
F,2,33.3,50,0,1.057,0.675
F,3,33.6,50,0,1.141,0.754
F,4,33.9,50,0,1.226,0.809
F,5,34.1,50,0,1.312,0.866
F,6,34.4,50,0,1.392,0.923
F,7,34.7,50,0,1.463,0.975
F,8,35,50,0,1.526,1.018
F,9,35.2,50,0,1.589,1.051
F,10,35.5,50,0,1.659,1.074
F,11,35.8,50,0,1.726,1.09
F,12,36.1,50,0,1.774,1.131
F,13,36.9,50,0,1.801,1.218
F,14,37.8,50,0,1.814,1.277
F,15,38.6,50,0,1.82,1.298
F,16,39.5,50,0,1.823,1.304
F,17,40.4,50,0,1.825,1.306
F,18,41.4,50,0,1.826,1.306
F,19,41.4,50,0,1.826,1.306
F,20,41.4,50,0,1.826,1.306
F,21,41.4,50,0,1.826,1.306
F,22,41.4,50,0,1.826,1.306
F,23,41.4,50,0,1.826,1.306
F,24,41.4,50,0,1.826,1.306
F,25,41.4,50,0,1.826,1.306
M,0,35.4,50,0,1.072,0
M,1,35.7,50,0,1.072,0
M,2,36,50,0,1.072,0.691
M,3,36.3,50,0,1.147,0.784
M,4,36.6,50,0,1.223,0.817
M,5,36.9,50,0,1.3,0.852
M,6,37.2,50,0,1.379,0.9
M,7,37.5,50,0,1.455,0.957
M,8,37.8,50,0,1.525,1.01
M,9,38.1,50,0,1.588,1.049
M,10,38.4,50,0,1.651,1.077
M,11,38.7,50,0,1.72,1.108
M,12,39,50,0,1.797,1.147
M,13,40.8,50,0,1.867,1.18
M,14,42.6,50,0,1.916,1.198
M,15,44.5,50,0,1.945,1.236
M,16,46.5,50,0,1.961,1.302
M,17,48.6,50,0,1.971,1.357
M,18,50.8,50,0,1.977,1.387
M,19,50.8,50,0,1.981,1.4
M,20,50.8,50,0,1.981,1.405
M,21,50.8,50,0,1.981,1.4
M,22,50.8,50,0,1.981,1.405
M,23,50.8,50,0,1.981,1.4
M,24,50.8,50,0,1.981,1.405
M,25,50.8,50,0,1.981,1.4
